Cidade,Altitude,Latitude,Longitude,
Abreu e Lima,19,-07 graus 54 minutos 42 segundos,34 graus 54 minutos 10 segundos,
Afogados da Ingazeira,525,-07 graus 45 minutos 03 segundos,37 graus 38 minutos 21 segundos,
Afrânio,522,-08 graus 30 minutos 54 segundos,41 graus 00 minutos 18 segundos,
Agrestina,435,-08 graus 27 minutos 29 segundos,35 graus 56 minutos 41 segundos,
Água Preta,93,-08 graus 42 minutos 27 segundos,35 graus 31 minutos 50 segundos,
Águas Belas,376,-09 graus 06 minutos 41 segundos,37 graus 07 minutos 23 segundos,
Alagoinha,730,-08 graus 27 minutos 59 segundos,36 graus 46 minutos 33 segundos,
Aliança,60,-07 graus 36 minutos 12 segundos,35 graus 13 minutos 51 segundos,
Altinho,360,-08 graus 29 minutos 23 segundos,36 graus 03 minutos 34 segundos,
Amaraji,180,-08 graus 22 minutos 59 segundos,35 graus 27 minutos 09 segundos,
Angelim,610,-08 graus 53 minutos 25 segundos,36 graus 17 minutos 09 segundos,
Araçoiaba,162,-07 graus 47 minutos 25 segundos,35 graus 05 minutos 27 segundos,
Araripina,622,-07 graus 34 minutos 34 segundos,40 graus 29 minutos 54 segundos,
Arcoverde,664,-08 graus 25 minutos 08 segundos,37 graus 03 minutos 14 segundos,
Barra de Guabiraba,305,-08 graus 25 minutos 12 segundos,35 graus 39 minutos 29 segundos,
Barreiros,22,-08 graus 49 minutos 06 segundos,35 graus 11 minutos 11 segundos,
Belém de Maria,227,-08 graus 37 minutos 07 segundos,35 graus 50 minutos 22 segundos,
Belém do São Francisco,205,-08 graus 45 minutos 14 segundos,38 graus 57 minutos 57 segundos,
Belo Jardim,608,-08 graus 20 minutos 08 segundos,36 graus 25 minutos 27 segundos,
Betânia,432,-08 graus 16 minutos 29 segundos,38 graus 02 minutos 03 segundos,
Bezerros,470,-08 graus 14 minutos 00 segundos,35 graus 47 minutos 49 segundos,
Bodocó,443,-07 graus 46 minutos 42 segundos,39 graus 56 minutos 28 segundos,
Bom Conselho,654,-09 graus 10 minutos 11 segundos,36 graus 40 minutos 47 segundos,
Bom Jardim,333,-07 graus 47 minutos 45 segundos,35 graus 35 minutos 14 segundos,
Bonito,444,-08 graus 28 minutos 13 segundos,35 graus 43 minutos 43 segundos,
Brejão,780,-09 graus 01 minutos 49 segundos,36 graus 34 minutos 07 segundos,
Brejinho,370,-07 graus 20 minutos 58 segundos,37 graus 17 minutos 10 segundos,
Brejo da Madre de Deus,845,-08 graus 08 minutos 45 segundos,36 graus 22 minutos 16 segundos,
Buenos Aires,130,-07 graus 43 minutos 32 segundos,35 graus 19 minutos 38 segundos,
Buíque,789,-08 graus 37 minutos 23 segundos,37 graus 09 minutos 21 segundos,
Cabo de Santo Agostinho,30,-08 graus 17 minutos 12 segundos,35 graus 02 minutos 06 segundos,
Cabrobó,322,-08 graus 30 minutos 51 segundos,39 graus 18 minutos 36 segundos,
Cachoeirinha,236,-08 graus 29 minutos 11 segundos,36 graus 13 minutos 59 segundos,
Caetés,858,-08 graus 46 minutos 23 segundos,36 graus 37 minutos 21 segundos,
Calçado,630,-08 graus 44 minutos 32 segundos,36 graus 20 minutos 02 segundos,
Calumbi,440,-07 graus 56 minutos 29 segundos,38 graus 09 minutos 00 segundos,
Camaragibe,53,-08 graus 01 minuto 18 segundos,34 graus 58 minutos 52 segundos,
Camocim de São Félix,691,-08 graus 21 minutos 31 segundos,35 graus 45 minutos 43 segundos,
Camutanga,124,-07 graus 24 minutos 25 segundos,35 graus 16 minutos 28 segundos,
Canhotinho,497,-08 graus 52 minutos 56 segundos,36 graus 11 minutos 28 segundos,
Capoeiras,640,-08 graus 44 minutos 05 segundos,36 graus 37 minutos 36 segundos,
Carnaíba,482,-07 graus 48 minutos 19 segundos,37 graus 47 minutos 38 segundos,
Carnaubeira da Penha,446,-08 graus 19 minutos 09 segundos,38 graus 44 minutos 41 segundos,
Carpina,186,-07 graus 51 minutos 03 segundos,35 graus 15 minutos 17 segundos,
Caruaru,545,-08 graus 17 minutos 00 segundos,35 graus 58 minutos 34 segundos,
Casinhas,,-07 graus 44 minutos 28 segundos,35 graus 43 minutos 16 segundos,
Catende,169,-08 graus 40 minutos 00 segundos,35 graus 43 minutos 00 segundos,
Cedro,565,-07 graus 43 minutos 18 segundos,39 graus 14 minutos 20 segundos,
Chã de Alegria,180,-08 graus 00 minutos 04 segundos,35 graus 12 minutos 46 segundos,
Chã Grande,480,-08 graus 14 minutos 18 segundos,35 graus 27 minutos 42 segundos,
Condado,70,-07 graus 35 minutos 09 segundos,35 graus 06 minutos 21 segundos,
Correntes,391,-09 graus 07 minutos 44 segundos,36 graus 19 minutos 49 segundos,
Cortês,300,-08 graus 28 minutos 13 segundos,35 graus 32 minutos 28 segundos,
Cumaru,395,-08 graus 00 minutos 22 segundos,35 graus 41 minutos 50 segundos,
Cupira,416,-08 graus 37 minutos 00 segundos,35 graus 57 minutos 00 segundos,
Custódia,542,-08 graus 05 minutos 15 segundos,37 graus 38 minutos 35 segundos,
Dormentes,492,-08 graus 26 minutos 50 segundos,40 graus 46 minutos 16 segundos,
Escada,119,-08 graus 21 minutos 33 segundos,35 graus 13 minutos 25 segundos,
Exu,523,-07 graus 30 minutos 43 segundos,39 graus 43 minutos 27 segundos,
Feira Nova,180,-07 graus 57 minutos 03 segundos,35 graus 23 minutos 21 segundos,
Fernando de Noronha,45,-03 graus 50 minutos 25 segundos,32 graus 24 minutos 39 segundos,
Ferreiros,120,-07 graus 26 minutos 51 segundos,35 graus 14 minutos 39 segundos,
Flores,466,-07 graus 52 minutos 05 segundos,37 graus 58 minutos 29 segundos,
Floresta,316,-08 graus 36 minutos 04 segundos,38 graus 34 minutos 07 segundos,
Frei Miguelinho,370,-07 graus 56 minutos 23 segundos,35 graus 54 minutos 44 segundos,
Gameleira,101,-08 graus 35 minutos 04 segundos,35 graus 23 minutos 12 segundos,
Garanhuns,842,-08 graus 53 minutos 25 segundos,36 graus 29 minutos 34 segundos,
Glória do Goitá,148,-08 graus 00 minutos 06 segundos,35 graus 17 minutos 34 segundos,
Goiana,12,-07 graus 33 minutos 38 segundos,35 graus 00 minutos 09 segundos,
Granito,440,-07 graus 42 minutos 58 segundos,39 graus 36 minutos 53 segundos,
Gravatá,447,-08 graus 12 minutos 04 segundos,35 graus 33 minutos 53 segundos,
Iati,472,-09 graus 02 minutos 45 segundos,36 graus 50 minutos 46 segundos,
Ibimirim,401,-08 graus 32 minutos 26 segundos,37 graus 41 minutos 25 segundos,
Ibirajuba,470,-08 graus 34 minutos 50 segundos,36 graus 10 minutos 46 segundos,
Igarassu,20,-07 graus 50 minutos 03 segundos,34 graus 54 minutos 23 segundos,
Iguaracy,558,-07 graus 50 minutos 07 segundos,37 graus 30 minutos 55 segundos,
Ilha de Itamaracá,20,-07 graus 44 minutos 52 segundos,34 graus 49 minutos 32 segundos,
Inajá,355,-08 graus 54 minutos 06 segundos,37 graus 49 minutos 26 segundos,
Ingazeira,356,-07 graus 40 minutos 34 segundos,37 graus 27 minutos 35 segundos,
Ipojuca,10,-08 graus 23 minutos 56 segundos,35 graus 03 minutos 50 segundos,
Ipubi,55,-07 graus 39 minutos 07 segundos,40 graus 08 minutos 56 segundos,
Itacuruba,292,-08 graus 49 minutos 57 segundos,38 graus 42 minutos 24 segundos,
Itaíba,478,-08 graus 56 minutos 51 segundos,37 graus 25 minutos 22 segundos,
Itambé,190,-07 graus 24 minutos 37 segundos,35 graus 06 minutos 46 segundos,
Itapetim,680,-07 graus 22 minutos 42 segundos,37 graus 11 minutos 25 segundos,
Itapissuma,7,-07 graus 46 minutos 35 segundos,34 graus 53 minutos 32 segundos,
Itaquitinga,80,-07 graus 40 minutos 04 segundos,35 graus 06 minutos 06 segundos,
Jaboatão dos Guararapes,76,-08 graus 06 minutos 46 segundos,35 graus 00 minutos 53 segundos,
Jaqueira,,-08 graus 43 minutos 36 segundos,35 graus 47 minutos 36 segundos,
Jataúba,323,-07 graus 59  minutos 24 segundos,36 graus 29 minutos 47 segundos,
Jatobá,280,-09 graus 10 minutos 59 segundos,38 graus 16 minutos 08 segundos,
João Alfredo,320,-07 graus 51 minutos 21 segundos,35 graus 35 minutos 18 segundos,
Joaquim Nabuco,152,-08 graus 37 minutos 28 segundos,35 graus 32 minutos 00 segundos,
Jucati,820,-08 graus 42 minutos 23 segundos,36 graus 29 minutos 20 segundos,
Jupi,782,-08 graus 42 minutos 42 segundos,36 graus 24 minutos 54 segundos,
Jurema,730,-08 graus 43 minutos 05 segundos,36 graus 08 minutos 09 segundos,
Lagoa de Itaenga,190,-07 graus 56 minutos 10 segundos,35 graus 17 minutos 25 segundos,
Lagoa do Carro,144,-07 graus 50 minutos 41 segundos,35 graus 19 minutos 11 segundos,
Lagoa do Ouro,509,-09 graus 07 minutos 39 segundos,36 graus 27 minutos 30 segundos,
Lagoa dos Gatos,465,-08 graus 39 minutos 30 segundos,35 graus 54 minutos 00 segundos,
Lagoa Grande,300,-08 graus 59 minutos 49 segundos,40 graus 16 minutos 19 segundos,
Lajedo,662,-08 graus 39 minutos 49 segundos,36 graus 19 minutos 12 segundos,
Limoeiro,132,-07 graus 52 minutos 29 segundos,35 graus 27 minutos 01 segundos,
Macaparana,360,-07 graus 33 minutos 17 segundos,35 graus 27 minutos 11 segundos,
Machados,360,-07 graus 41 minutos 04 segundos,35 graus 30 minutos 43 segundos,
Manari,570,-08 graus 57 minutos 50 segundos,37 graus 37 minutos 42 segundos,
Maraial,216,-08 graus 46 minutos 57 segundos,35 graus 48 minutos 32 segundos,
Mirandiba,450,-08 graus 07 minutos 13 segundos,38 graus 43 minutos 46 segundos,
Moreilândia,510,-07 graus 37 minutos 51 segundos,39 graus 33 minutos 04 segundos,
Moreno,97,-08 graus 07 minutos 07 segundos,35 graus 05 minutos 32 segundos,
Nazaré da Mata,58,-07 graus 44 minutos 30 segundos,35 graus 13 minutos 40 segundos,
Olinda,16,-08 graus 00 minutos 32 segundos,34 graus 51 minutos 19 segundos,
Orobó,415,-07 graus 44 minutos 42 segundos,35 graus 36 minutos 08 segundos,
Orocó,340,-08 graus 37 minutos 13 segundos,39 graus 35 minutos 59 segundos,
Ouricuri,630,-07 graus 52 minutos 57 segundos,40 graus 04 minutos 54 segundos,
Palmares,108,-08 graus 41 minutos 00 segundos,35 graus 35 minutos 30 segundos,
Palmeirina,800,-09 graus 00 minutos 16 segundos,36 graus 19 minutos 33 segundos,
Panelas,532,-08 graus 39 minutos 49 segundos,36 graus 00 minutos 21 segundos,
Paranatama,850,-08 graus 55 minutos 15 segundos,36 graus 39 minutos 29 segundos,
Parnamirim,397,-08 graus 05 minutos 26 segundos,39 graus 34 minutos 42 segundos,
Passira,360,-07 graus 59 minutos 42 segundos,35 graus 34 minutos 50 segundos,
Paudalho,69,-07 graus 53 minutos 48 segundos,35 graus 10 minutos 47 segundos,
Paulista,14,-07 graus 56 minutos 27 segundos,34 graus 52 minutos 23 segundos,
Pedra,615,-08 graus 29 minutos 49 segundos,36 graus 56 minutos 27 segundos,
Pesqueira,655,-08 graus 21 minutos 28 segundos,36 graus 41 minutos 47 segundos,
Petrolândia,282,-09 graus 04 minutos 09 segudos,38 graus 18 minutos 30 segundos,
Petrolina,376,-09 graus 23 minutos 55 segundos,40 graus 30 minutos 03 segundos,
Poção,389,-08 graus 11 minutos 11 segundos,36 graus 42 minutos 18 segundos,
Pombos,160,-08 graus 08 minutos 29 segundos,35 graus 23 minutos 45 segundos,
Primavera,110,-08 graus 19 minutos 53 segundos,35 graus 21 minutos 15 segundos,
Quipapá,462,-08 graus 49 minutos 40 segundos,36 graus 00 minutos 42 segundos,
Quixaba,482,-07 graus 43 minutos 13 segundos,37 graus 50 minutos 54 segundos,
Recife,4,-08 graus 03 minutos 14 segundos,34 graus 52 minutos 52 segundos,
Riacho das Almas,500,-08 graus 08 minutos 02 segundos,35 graus 51 minutos 23 segundos,
Ribeirão,97,-08 graus 30 minutos 52 segundos,35 graus 22 minutos 40 segundos,
Rio Formoso,5,-08 graus 39 minutos 49 segundos,35 graus 09 minutos 31 segundos,
Sairé,429,-08 graus 19 minutos 39 segundos,35 graus 42 minutos 20 segundos,
Salgadinho,350,-07 graus 56 minutos 11 segundos,35 graus 37 minutos 58 segundos,
Salgueiro,412,-08 graus 04 minutos 27 segundos,39 graus 07 minutos 09 segundos,
Saloá,760,-08 graus 58 minutos 33 segundos,36 graus 41 minutos 15 segundos,
Sanharó,653,-08 graus 21 minutos 38 segundos,36 graus 33 minutos 56 segundos,
Santa Cruz,415,-08 graus 14 minutos 24 segundos,40 graus 20 minutos 05 segundos,
Santa Cruz da Baixa Verde,99,-07 graus 49 minutos 14 segundos,38 graus 09 minutos 10 segundos,
Santa Cruz do Capibaribe,435,-07 graus 57 minutos 27 segundos,36 graus 12 minutos 17 segundos,
Santa Filomena,630,-08 graus 09 minutos 45 segundos,40 graus 36 minutos 56 segundos,
Santa Maria da Boa Vista,345,-08 graus 48 minutos 28 segundos,39 graus 49 minutos 32 segundos,
Santa Maria do Cambucá,500,-07 graus 49 minutos 45 segundos,35 graus 52 minutos 50 segundos,
Santa Terezinha,808,-07 graus 22 minutos 40 segundos,37 graus 28 minutos 48 segundos,
São Benedito do Sul,350,-08 graus 48 minutos 30 segundos,35 graus 57 minutos 06 segundos,
São Bento do Una,650,-08 graus 31 minutos 22 segundos,36 graus 26 minutos 40 segundos,
São Caetano,552,-08 graus 19 minutos 33 segundos,36 graus 08 minutos 34 segundos,
São João,705,-08 graus 52 minutos 32 segundos,36 graus 22 minutos 00 segundos,
São Joaquim do Monte,450,-08 graus 25 minutos 57 segundos,35 graus 48 minutos 16 segundos,
São José da Coroa Grande,5,-08 graus 53 minutos 52 segundos,35 graus 08 minutos 52 segundos,
São José do Belmonte,430,-07 graus 51 minutos 41 segundos,38 graus 45 minutos 35 segundos,
São José do Egito,985,-07 graus 28 minutos 44 segundos,37 graus 16 minutos 28 segundos,
São Lourenço da Mata,59,-08 graus 00 minutos 08 segundos,35 graus 01 minutos 06 segundos,
São Vicente Férrer,250,-07 graus 35 minutos 28 segundos,35 graus 29 minutos 29 segundos,
Serra Talhada,429,-07 graus 59 minutos 31 segundos,38 graus 17 minutos 54 segundos,
Serrita,405,-07 graus 56 minutos 00 segundos,39 graus 17 minutos 45 segundos,
Sertânia,558,-08 graus 04 minutos 25 segundos,37 graus 15 minutos 52 segundos,
Sirinhaém,49,-08 graus 35 minutos 27 segundos,35 graus 06 minutos 58 segundos,
Solidão,640,-07 graus 36 minutos 01 segundos,37 graus 39 minutos 07 segundos,
Surubim,393,-07 graus 50 minutos 02 segundos,35 graus 45 minutos 21 segundos,
Tabira,380,-07 graus 35 minutos 27 segundos,37 graus 32 minutos 22 segundos,
Tacaimbó,568,-08 graus 18 minutos 58 segundos,36 graus 17 minutos 36 segundos,
Tacaratu,750,-09 graus 06 minutos 23 segundos,38 graus 09 minutos 04 segundos,
Tamandaré,4,-08 graus 45 minutos 35 segundos,35 graus 06 minutos 17 segundos,
Taquaritinga do Norte,785,-07 graus 54 minutos 11 segundos,36 graus 02 minutos 39 segundos,
Terezinha,736,-09 graus 03 minutos 22 segundos,36 graus 37 minutos 22 segundos,
Terra Nova,355,-08 graus 13 minutos 47 segundos,39 graus 22 minutos 32 segundos,
Timbaúba,101,-07 graus 30 minutos 19 segundos,35 graus 19 minutos 06 segundos,
Toritama,349,-08 graus 00 minutos 35 segundos,36 graus 03 minutos 22 segundos,0
Tracunhaém,85,-07 graus 48 minutos 17 segundos,35 graus 14 minutos 24 segundos,
Trindade,471,-07 graus 45 minutos 43 segundos,40 graus 16 minutos 04 segundos,
Triunfo,1010,-07 graus 50 minutos 17 segundos,38 graus 06 minutos 06 segundos,
Tupanatinga,710,-08 graus 45 minutos 12 segundos,37 graus 20 minutos 23 segundos,
Tuparetama,580,-07 graus 36 minutos 08 segundos,37 graus 18 minutos 41 segundos,
Venturosa,540,-08 graus 34 minutos 29 segundos,36 graus 52 minutos 27 segundos,
Verdejante,510,-07 graus 55 minutos 32 segundos,38 graus 58 minutos 18 segundos,
Vertente do Lério,457,-07 graus 46 minutos 17 segundos,35 graus 51 minutos 00 segundos,
Vertentes,401,-07 graus 54 minutos 10 segundos,35 graus 59 minutos 18 segundos,
Vicência,300,-07 graus 39 minutos 25 segundos,35 graus 19 minutos 36 segundos,
Vitória de Santo Antão,157,-08 graus 07 minutos 05 segundos,35 graus 17 minutos 29 segundos,
Xexéu,93,-08 graus 48 minutos 08 segundos,35 graus 37 minutos 37 segundos,
